name,price,modules,price_per_gb,color,first_word_latency,cas_latency,ddr_gen,mhz
TEAMGROUP T-Force Vulcan 32 GB,82.99,"2,16",2.593,Black,12.667,38.0,5,6000
G.Skill Trident Z5 Neo 32 GB,116.99,"2,16",3.656,Black,10.0,30.0,5,6000
G.Skill Aegis 16 GB,44.99,"2,8",2.812,Red / Black,10.0,16.0,4,3200
PNY XLR8 32 GB,59.99,"2,16",1.875,Black,10.0,18.0,4,3600
TEAMGROUP Elite 16 GB,28.99,"2,8",1.812,Black,14.254,19.0,4,2666
Silicon Power XPOWER Zenith RGB Gaming 32 GB,99.99,"2,16",3.125,Black,10.0,30.0,5,6000
G.Skill Ripjaws S5 32 GB,89.99,"2,16",2.812,Black,12.0,36.0,5,6000
OLOy ND4U1632161DJ0DA 32 GB,69.99,"2,16",2.187,Black,10.0,16.0,4,3200
Corsair Vengeance RGB Pro 32 GB,142.99,"2,16",4.468,White,10.0,16.0,4,3200
ADATA XPG Lancer Blade 32 GB,152.21,"2,16",4.757,Black,10.0,30.0,5,6000
G.Skill Ripjaws V 32 GB,73.98,"2,16",2.312,Black,10.0,18.0,4,3600
Crucial Pro 64 GB,171.34,"2,32",2.677,Black,13.333,40.0,5,6000
Silicon Power XPOWER Turbine 16 GB,33.97,"2,8",2.123,Blue,10.0,16.0,4,3200
G.Skill Trident Z5 Royal Neo RGB 64 GB,259.99,"2,32",4.062,Silver,10.0,30.0,5,6000
Crucial CT16G48C40U5 16 GB,38.86,"1,16",2.429,Black,16.667,40.0,5,4800
Patriot Viper Steel 64 GB,164.99,"2,32",2.578,Silver / Black,10.0,18.0,4,3600
G.Skill Trident Z5 Neo RGB 32 GB,134.99,"2,16",4.218,Black,9.375,30.0,5,6400
Klevv FIT V 32 GB,84.99,"2,16",2.656,White,10.667,32.0,5,6000
TEAMGROUP T-Create Expert 32 GB,72.99,"2,16",2.281,White,12.667,38.0,5,6000
G.Skill Trident Z5 Neo RGB 32 GB,,"2,16",,Black,8.667,26.0,5,6000
Kingston FURY Beast RGB 16 GB,75.98,"2,8",4.749,Black,12.0,36.0,5,6000
Corsair Vengeance 32 GB,114.99,"2,16",3.593,Black,10.0,32.0,5,6400
Corsair Vengeance RGB 96 GB,349.99,"2,48",3.646,Black / Silver,10.0,30.0,5,6000
Corsair Vengeance RGB 32 GB,194.99,"2,16",6.093,Black / Gray,9.0,36.0,5,8000
Corsair Vengeance LPX 32 GB,160.99,"2,16",5.031,Black / Yellow,10.0,18.0,4,3600
Patriot Viper Xtreme 5 32 GB,134.99,"2,16",4.218,Black,9.268,38.0,5,8200
TEAMGROUP T-Force Delta RGB 32 GB,136.69,"2,16",4.272,Black,10.0,18.0,4,3600
G.Skill Ripjaws V 16 GB,45.99,"2,8",2.874,Black,10.0,18.0,4,3600
G.Skill Trident Z Neo 32 GB,99.99,"2,16",3.125,Black / Silver,8.889,16.0,4,3600
Timetec PINNACLE Konduit 32 GB,59.99,"2,16",1.875,Black,10.0,16.0,4,3200
Patriot Viper Venom RGB 32 GB,90.99,"2,16",2.843,Black / Silver,10.0,30.0,5,6000
Kingston FURY Beast 128 GB,402.99,"4,32",3.148,White,14.286,40.0,5,5600
Corsair Vengeance 48 GB,179.99,"2,24",3.75,Black / Gray,10.0,30.0,5,6000
Kingston FURY Beast 16 GB,64.99,"2,8",4.062,Black / Silver,12.857,36.0,5,5600
G.Skill Trident Z5 Royal Neo RGB 96 GB,449.99,"2,48",4.687,Silver,9.333,28.0,5,6000
TEAMGROUP T-Force Delta RGB 32 GB,107.99,"2,16",3.375,Black,10.0,32.0,5,6400
G.Skill Ripjaws S5 96 GB,284.99,"2,48",2.969,Black,10.0,32.0,5,6400
TEAMGROUP T-Force Delta RGB 32 GB,74.94,"2,16",2.342,Black,10.0,16.0,4,3200
G.Skill Trident Z5 RGB 32 GB,95.98,"2,16",2.999,Black,12.0,36.0,5,6000
Silicon Power SP016GBLFU320B22 16 GB,39.97,"2,8",2.498,,13.75,22.0,4,3200
G.Skill Trident Z5 Neo RGB 32 GB,134.99,"2,16",4.218,White,9.375,30.0,5,6400
G.Skill Ripjaws S5 32 GB,99.99,"2,16",3.125,Black,10.0,28.0,5,5600
Corsair Vengeance LPX 64 GB,128.99,"2,32",2.015,Black,10.0,18.0,4,3600
Patriot Viper Venom 32 GB,114.99,"2,16",3.593,Black / White,9.143,32.0,5,7000
TEAMGROUP T-Force Delta RGB 32 GB,107.99,"2,16",3.375,White,10.0,32.0,5,6400
G.Skill Aegis 32 GB,69.98,"2,16",2.187,Red / Black,10.0,16.0,4,3200
TEAMGROUP T-Create Expert 32 GB,89.99,"2,16",2.812,Black,10.0,32.0,5,6400
Kingston FURY Beast RGB 64 GB,239.99,"2,32",3.75,White,10.0,30.0,5,6000
G.Skill Trident Z5 Neo RGB 96 GB,,"2,48",,Black,8.667,26.0,5,6000
Lexar THOR OC 32 GB,104.99,"2,16",3.281,Black / Gold,10.667,32.0,5,6000
Silicon Power XPOWER Zenith RGB Gaming 64 GB,169.99,"2,32",2.656,White,10.0,30.0,5,6000
Corsair Vengeance 64 GB,219.99,"2,32",3.437,Black / Gray,10.0,30.0,5,6000
TEAMGROUP T-Create Expert 64 GB,176.99,"2,32",2.765,Black,11.333,34.0,5,6000
Corsair Vengeance RGB 32 GB,144.99,"2,16",4.531,Black / Gray,10.0,30.0,5,6000
Kingston FURY Beast 128 GB,339.99,"2,64",2.656,Black,12.857,36.0,5,5600
Patriot Viper Venom 16 GB,49.99,"2,8",3.124,Black / Red,10.0,32.0,5,6400
Timetec PINNACLE Konduit 16 GB,31.99,"2,8",1.999,White,10.0,16.0,4,3200
G.Skill Trident Z5 RGB 64 GB,159.99,"2,32",2.5,Black,12.0,36.0,5,6000
Corsair Dominator Titanium 64 GB,299.99,"2,32",4.687,White,10.0,30.0,5,6000
Patriot Viper Venom 16 GB,48.99,"1,16",3.062,Black / White,10.0,30.0,5,6000
Silicon Power XPOWER Zenith RGB Gaming 32 GB,99.99,"2,16",3.125,White,10.0,30.0,5,6000
Corsair Vengeance RGB 64 GB,244.99,"2,32",3.828,Black / Gray,10.0,32.0,5,6400
Corsair Vengeance 64 GB,149.99,"2,32",2.344,Black,14.286,40.0,5,5600
TEAMGROUP T-Force Vulcan Z 32 GB,,"2,16",,Black,10.0,18.0,4,3600
G.Skill Trident Z RGB 32 GB,105.53,"2,16",3.298,Black,10.0,16.0,4,3200
G.Skill Trident Z5 Royal 48 GB,279.99,"2,24",5.833,Silver,9.524,40.0,5,8400
Corsair Vengeance LPX 32 GB,85.88,"2,16",2.684,Black / Yellow,8.889,16.0,4,3600
G.Skill Trident Z5 RGB 48 GB,214.99,"2,24",4.479,Black,10.0,40.0,5,8000
Corsair Vengeance 128 GB,540.99,"4,32",4.226,Black,14.286,40.0,5,5600
Kingston HyperX Fury 8 GB,,"1,8",,Black,12.003,16.0,4,2666
Kingston FURY Beast RGB 128 GB,399.99,"4,32",3.125,Black,15.385,40.0,5,5200
G.Skill Flare X5 32 GB,104.99,"2,16",3.281,Black,10.667,32.0,5,6000
TEAMGROUP Elite 32 GB,78.98,"2,16",2.468,Black,13.75,22.0,4,3200
TEAMGROUP T-Force Delta RGB 32 GB,89.99,"2,16",2.812,Black,12.667,38.0,5,6000
ADATA XPG SPECTRIX D35G RGB 16 GB,54.99,"2,8",3.437,Black,10.0,16.0,4,3200
Crucial Pro 32 GB,94.99,"2,16",2.968,White,11.875,38.0,5,6400
