name,price,socket,form_factor,max_memory,memory_slots,color
Gigabyte B650M AORUS ELITE AX ICE,199.99,AM5,Micro ATX,192,4,Silver
Asus ROG CROSSHAIR X670E HERO,,AM5,ATX,192,4,Black / Silver
Asus PRIME H610I-PLUS D4-CSM,112.99,LGA1700,Mini ITX,64,2,Silver / Black
Asus PRIME B760M-A AX,131.74,LGA1700,Micro ATX,128,4,Silver / Black
Gigabyte B550M DS3H,137.64,AM4,Micro ATX,128,4,Black / Gold
MSI PRO B650-P WIFI,169.99,AM5,ATX,192,4,Black
ASRock B650M-H/M.2+,99.99,AM5,Micro ATX,96,2,Silver / Black
ASRock X870 Steel Legend WiFi,259.99,AM5,ATX,256,4,White
Asus ROG MAXIMUS Z790 DARK HERO,999.99,LGA1700,ATX,192,4,Black
Gigabyte Z790 AORUS ELITE X WIFI7,239.99,LGA1700,ATX,192,4,Black
ASRock H610M/ac,89.99,LGA1700,Micro ATX,64,2,Silver / Black
Gigabyte B650I AORUS ULTRA,237.0,AM5,Mini ITX,96,2,Black / Silver
Gigabyte A620M S2H,110.82,AM5,Micro ATX,96,2,Gray / Black
Gigabyte Z890 EAGLE WIFI7,224.27,LGA1851,ATX,256,4,Silver / Black
Asus ROG STRIX B450-F GAMING II,269.27,AM4,ATX,128,4,Black
Asus ROG STRIX X870-F GAMING WIFI,419.99,AM5,ATX,192,4,Black
Gigabyte B450M DS3H,153.26,AM4,Micro ATX,128,4,Black / Silver
Asus PRIME B840-PLUS WIFI,149.99,AM5,ATX,192,4,Silver / Black
ASRock B850 LiveMixer WiFi,189.99,AM5,ATX,256,4,Silver / Black
Asus TUF GAMING B550M-PLUS WIFI II,199.99,AM4,Micro ATX,128,4,Black / Gray
ASRock B450M PRO4 R2.0,99.99,AM4,Micro ATX,128,4,Gray / Black
ASRock B660M Pro RS,107.99,LGA1700,Micro ATX,128,4,Gray / Black
ASRock A620M Pro RS WiFi,148.93,AM5,Micro ATX,256,4,Silver / Black
Asus ROG STRIX X670E-E GAMING WIFI,384.0,AM5,ATX,192,4,Black / Silver
ASRock H510M-HDV/M.2 SE,94.31,LGA1200,Micro ATX,64,2,Black / Silver
Asus ROG STRIX B550-F GAMING,219.99,AM4,ATX,128,4,Black
ASRock B550M-HDV,89.99,AM4,Micro ATX,64,2,Black
MSI PRO Z890-P WIFI,189.99,LGA1851,ATX,256,4,Black / Silver
MSI PRO B650-A WIFI,169.99,AM5,ATX,256,4,Black / Silver
ASRock B850M-X WiFi,124.99,AM5,Micro ATX,128,2,Black / White
Gigabyte B550M AORUS ELITE,134.0,AM4,Micro ATX,128,4,Black / Orange
ASRock Phantom Gaming X870 Riptide WiFi,249.99,AM5,ATX,256,4,Black / Purple
Asus PRIME B650M-A WIFI II,237.07,AM5,Micro ATX,192,4,Black / Silver
MSI MPG B850 EDGE TI WIFI,309.99,AM5,ATX,256,4,Silver / White
MSI PRO B760M-A WIFI DDR4,154.99,LGA1700,Micro ATX,128,4,Black
Gigabyte B550M GAMING X WIFI6,154.99,AM4,Micro ATX,128,4,Gray / Black
MSI B650M PROJECT ZERO,229.99,AM5,Micro ATX,256,4,Silver / Black
Gigabyte B650M GAMING WIFI,,AM5,Micro ATX,96,2,Black / Silver
Gigabyte B760 GAMING X AX,239.94,LGA1700,ATX,192,4,Black / Gray
Asus ROG STRIX B450-F GAMING,129.99,AM4,ATX,128,4,Black
MSI PRO-H610M-E-DDR4,,LGA1700,Micro ATX,64,2,Black
Asus B760M-AYW WIFI D4 II,99.99,LGA1700,Micro ATX,64,2,Black / Silver
ASRock X870E Taichi Lite,299.99,AM5,EATX,256,4,Black / Silver
MSI MPG Z790 CARBON MAX WIFI II,469.99,LGA1700,ATX,256,4,Black
Asus PRIME B760-PLUS,,LGA1700,ATX,192,4,Black / Silver
Asus PRIME A320M-K,,AM4,Micro ATX,32,2,Black / White
NZXT N9 X870E,459.99,AM5,ATX,192,4,Black
Asus ROG CROSSHAIR X870E APEX,749.99,AM5,ATX,128,2,Black
Asus ROG STRIX Z890-E GAMING WIFI,424.0,LGA1851,ATX,192,4,Black
Asus TUF GAMING X670E-PLUS WIFI,235.99,AM5,ATX,192,4,Black / Orange
Gigabyte B650I AX,223.75,AM5,Mini ITX,96,2,Black
Asus ROG STRIX Z790-E GAMING WIFI,399.99,LGA1700,ATX,192,4,Black
Gigabyte B650 GAMING X AX,166.63,AM5,ATX,192,4,Black / Gray
ASRock B660M-HDV,107.51,LGA1700,Micro ATX,64,2,Gray / Black
Gigabyte X670 AORUS ELITE AX,239.99,AM5,ATX,192,4,Black
MSI PRO B850M-P WIFI,179.99,AM5,Micro ATX,256,4,Black / Silver
Gigabyte B450M K,99.95,AM4,Micro ATX,64,2,Brown / Silver
Gigabyte X870E AORUS ELITE WIFI7 ICE,329.99,AM5,ATX,256,4,White
Gigabyte X870E AORUS XTREME AI TOP,799.99,AM5,EATX,256,4,Black
MSI B650M GAMING WIFI,,AM5,Micro ATX,96,2,Silver / Black
ASRock B860I WiFi,159.99,LGA1851,Mini ITX,128,2,Black
Asus TUF GAMING B650-PLUS,159.99,AM5,ATX,128,4,Black / Orange
Gigabyte B650M S2H,147.47,AM5,Micro ATX,96,2,Black / Gray
MSI B550M PRO-VDH,153.09,AM4,Micro ATX,128,4,Black
ASRock B450M Steel Legend,92.67,AM4,Micro ATX,64,4,Black / White
MSI MAG Z790 TOMAHAWK MAX WIFI,248.43,LGA1700,ATX,192,4,Black / Yellow
ASRock B850 Pro-A WiFi,177.99,AM5,ATX,256,4,Black / Silver
ASRock B850M Pro RS,149.99,AM5,Micro ATX,256,4,Silver / Black
Asus B650E MAX GAMING WIFI,169.99,AM5,ATX,192,4,Black / Silver
Asus TUF GAMING B850-BTF WIFI W,279.99,AM5,ATX,256,4,White / Silver
ASRock H610M-HDV/M.2+ D5,89.57,LGA1700,Micro ATX,96,2,White / Black
ASRock B760M Pro RS WiFi White,,LGA1700,Micro ATX,192,4,White
MSI PRO B650M-B,154.86,AM5,Micro ATX,96,2,Black
MSI B450M PRO-VDH MAX,110.0,AM4,Micro ATX,64,4,Black / Silver
Asus PRIME B650-PLUS,174.02,AM5,ATX,192,4,Black / Silver
Asus PRIME Z790-P WIFI,249.99,LGA1700,ATX,192,4,Black / Silver
Gigabyte Z890 AORUS ELITE WIFI7,245.4,LGA1851,ATX,256,4,Black
Gigabyte B450M DS3H WIFI,,AM4,Micro ATX,128,4,Brown / Black
Asus TUF GAMING Z890-PLUS WIFI,260.0,LGA1851,ATX,192,4,Black
ASRock B850M-X,111.98,AM5,Micro ATX,128,2,Black / White
Asus TUF GAMING Z790-PRO WIFI,,LGA1700,ATX,192,4,Black
Asus ROG STRIX B650E-E GAMING WIFI,404.73,AM5,ATX,192,4,Black
Gigabyte B850M DS3H,154.99,AM5,Micro ATX,256,4,Gray / Black
ASRock B650M PG RIPTIDE WIFI,185.99,AM5,Micro ATX,256,4,Black
MSI X870E GAMING PLUS WIFI,329.99,AM5,ATX,256,4,Black
Gigabyte Z790 AORUS PRO X,329.99,LGA1700,ATX,192,4,Silver
Gigabyte B650M D3HP,169.44,AM5,Micro ATX,192,4,Black
Asus TUF GAMING A620M-PLUS WIFI,155.99,AM5,Micro ATX,192,4,Black / Orange
Asus ProArt Z890-CREATOR WIFI,489.99,LGA1851,ATX,256,4,Black / Gold
Asus PRIME A520M-K,,AM4,Micro ATX,64,2,Black / Silver
ASRock B550 Phantom Gaming 4,99.99,AM4,ATX,128,4,Silver / Black
Gigabyte X870 GAMING X WIFI7,259.99,AM5,ATX,256,4,Black
MSI Z790 PROJECT ZERO,279.99,LGA1700,ATX,256,4,Silver / Black
