,name,price,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics
39,AMD Ryzen 9 5950X,274.99,16,3.4,4.9,Zen 3,105,
40,AMD Ryzen 7 5800X3D,704.86,8,3.4,4.5,Zen 3,105,
41,Intel Core i3-12100F,79.45,4,3.3,4.3,Alder Lake,58,
42,AMD Ryzen 9 7950X,449.96,16,4.5,5.7,Zen 4,170,Radeon
43,Intel Core i5-14600KF,197.98,14,3.5,5.3,Raptor Lake Refresh,125,
44,AMD Ryzen 5 8600G,224.83,6,4.3,5.0,Zen 4,65,Radeon 760M
45,AMD Ryzen 7 5700,134.96,8,3.7,4.6,Zen 3,65,
46,Intel Core i7-14700KF,313.95,20,3.4,5.6,Raptor Lake Refresh,125,
47,Intel Core i9-12900K,285.99,16,3.2,5.2,Alder Lake,125,Intel UHD Graphics 770
48,Intel Core Ultra 7 265KF,277.44,20,3.9,5.5,Arrow Lake,125,
49,AMD Ryzen 9 9900X3D,539.98,12,4.4,5.5,Zen 5,120,Radeon
50,AMD Ryzen 9 7950X3D,769.27,16,4.2,5.7,Zen 4,120,Radeon
51,AMD Ryzen 7 8700G,279.0,8,4.2,5.1,Zen 4,65,Radeon 780M
52,Intel Core i9-14900KF,419.97,24,3.2,6.0,Raptor Lake Refresh,125,
