,brand,clean_name,item_price_in_php,stocks,total_capacity_gb,num_modules,capacity_per_module_gb,ddr_gen,mhz,cl,voltage
251,G.Skill,G.Skill Trident Z5 RGB silver,8499.0,0,32,2,16,5,6000,36.0,1.35
252,G.Skill,G.Skill Trident Z5 RGB white,8499.0,3,32,2,16,5,6000,36.0,1.35
253,G.Skill,G.Skill Trident Z5 RGB black,7999.0,3,32,2,16,5,6000,32.0,1.35
254,G.Skill,G.Skill Trident Z5 RGB white,7999.0,3,32,2,16,5,6000,32.0,1.35
255,G.Skill,G.Skill Ripjaws S5 black,7150.0,9,32,2,16,5,6000,32.0,1.35
256,G.Skill,G.Skill Ripjaws S5 white,7150.0,5,32,2,16,5,6000,32.0,1.35
257,G.Skill,G.Skill Ripjaws S5 black,6299.0,0,32,2,16,5,6000,36.0,1.25
258,G.Skill,G.Skill Ripjaws S5 white,6299.0,0,32,2,16,5,6000,36.0,1.25
259,G.Skill,G.Skill Ripjaws S5 black,6399.0,0,32,2,16,5,6000,36.0,1.35
260,Corsair,Corsair Dominator Platinum black,9150.0,1,32,2,16,5,6000,36.0,1.35
261,Corsair,Corsair Dominator Platinum black,9999.0,1,32,2,16,5,6000,36.0,1.35
262,Corsair,Corsair Dominator Titanium black,10399.0,0,32,2,16,5,6000,30.0,1.4
263,Patriot,Patriot Elite 5 White,7750.0,0,32,2,16,5,6200,42.0,1.35
264,Patriot,Patriot Venom,6299.0,1,32,2,16,5,6200,40.0,1.35
265,Patriot,Patriot Venom RGB,6550.0,0,32,2,16,5,6000,36.0,1.35
266,Corsair,Corsair Dominator Platinum black,9899.0,1,32,2,16,5,6200,36.0,1.3
267,Patriot,Patriot Venom RGB,7999.0,2,32,2,16,5,6200,40.0,1.35
268,Tforce,Tforce Delta RGB black,7699.0,4,32,2,16,5,6400,32.0,1.35
269,Tforce,Tforce Delta RGB white,7699.0,6,32,2,16,5,6400,32.0,1.35
270,Tforce,Tforce Delta RGB silver,7699.0,6,32,2,16,5,6400,32.0,1.35
271,G.Skill,G.Skill Ripjaws M5 RGB black,7899.0,1,32,2,16,5,6400,32.0,1.4
272,G.Skill,G.Skill Ripjaws M5 RGB white,7899.0,3,32,2,16,5,6400,32.0,1.4
273,G.Skill,G.Skill Trident Z5 Neo RGB black,8999.0,4,32,2,16,5,6400,32.0,1.4
274,G.Skill,G.Skill Trident Z5 Neo RGB white CL32-39 1.4v,8999.0,2,32,2,16,5,6400,32.0,1.4
275,G.Skill,G.Skill Trident Z5 RGB black,8299.0,0,32,2,16,5,6400,32.0,1.4
276,G.Skill,G.Skill Trident Z5 RGB white,8299.0,4,32,2,16,5,6400,32.0,1.4
277,G.Skill,G.Skill Trident Z5 Royal RGB silver,9399.0,3,32,2,16,5,6400,32.0,1.4
278,Patriot,Patriot Elite 5 White,8225.0,2,32,2,16,5,6600,36.0,1.4
279,Patriot,Patriot Elite 5 TUF White,8550.0,0,32,2,16,5,6600,34.0,1.4
280,Corsair,Corsair Dominator Titanium black,10299.0,2,32,2,16,5,6600,32.0,1.4
281,G.Skill,G.Skill Trident Z5 Neo RGB black,9999.0,2,32,2,16,5,7200,34.0,1.4
282,G.Skill,G.Skill Trident Z5 Neo RGB white,9999.0,3,32,2,16,5,7200,34.0,1.4
283,G.Skill,G.Skill Trident Z5 RGB black,9499.0,3,32,2,16,5,7200,34.0,1.4
284,Corsair,Corsair Dominator Titanium black,11399.0,2,32,2,16,5,7200,34.0,1.45
285,Patriot,Patriot Xtreme 5 RGB,9799.0,1,32,2,16,5,7600,36.0,1.45
286,G.Skill,G.Skill Trident Z5 RGB black,10799.0,5,32,2,16,5,7600,36.0,1.4
287,G.Skill,G.Skill Trident Z5 Royal silver,11999.0,0,32,2,16,5,7600,36.0,1.4
